Gene,Module,Stability,kME
evm.TU.HIC_ASM_9.1868,green,1,-0.0757550776747204
evm.TU.HIC_ASM_9.1943,green,1,-0.038994824933114
evm.TU.HIC_ASM_9.203,green,1,-0.0418993561625171
evm.TU.HIC_ASM_9.670,green,1,-0.0452713982263761
evm.TU.HIC_ASM_9.822,green,1,-0.0305294274953116
evm.TU.ORIGINAL_130.5,green,1,-0.0275400851103895
evm.TU.ORIGINAL_179__FRAGMENT_1.4,green,1,-0.0322814232955457
evm.TU.ORIGINAL_247__FRAGMENT_1.11,green,1,-0.0452713982263761
evm.TU.ORIGINAL_247__FRAGMENT_2.42,green,1,-0.0539561302892038
evm.TU.ORIGINAL_247__FRAGMENT_2.50,green,1,-0.0539561302892038
evm.TU.ORIGINAL_354.1,green,1,-0.0757550776747204
evm.TU.ORIGINAL_355.20,green,1,-0.0322814232955457
evm.TU.ORIGINAL_435__FRAGMENT_2.5,green,1,-0.0757550776747198
evm.TU.ORIGINAL_471.3,green,1,-0.0757550776747204
evm.TU.ORIGINAL_484__FRAGMENT_2.11,green,1,-0.038994824933114
evm.TU.ORIGINAL_484__FRAGMENT_2.12,green,1,-0.0452713982263761
evm.TU.ORIGINAL_488.3,green,1,-0.038994824933114
PB.2920,green,1,-0.0305294274953116
PB.17353,green,1,-0.0757550776747198
PB.437,green,1,-0.0757550776747204
PB.15372,green,1,-0.0364668816363058
PB.23690,green,1,-0.0418993561625171
PB.4234,green,1,-0.0418993561625171
PB.15920,green,1,-0.0322814232955456
evm.TU.HIC_ASM_0.243,green,0.99,0.979171782077841
evm.TU.HIC_ASM_0.257,green,0.99,0.979171782077841
evm.TU.HIC_ASM_1.2035,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_1.565,green,0.99,0.979171782077841
evm.TU.HIC_ASM_10.491,green,0.99,0.979171782077841
evm.TU.HIC_ASM_10.495,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_12.1184,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_13.337,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_14.1066,green,0.99,0.979171782077841
evm.TU.HIC_ASM_14.485,green,0.99,0.979171782077841
evm.TU.HIC_ASM_15.1267,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_15.1637,green,0.99,0.979171782077841
evm.TU.HIC_ASM_15.2339,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_16.329,green,0.99,0.979171782077841
evm.TU.HIC_ASM_16.503,green,0.99,0.979171782077841
evm.TU.HIC_ASM_16.539,green,0.99,0.979171782077841
evm.TU.HIC_ASM_2.236,green,0.99,0.979171782077841
evm.TU.HIC_ASM_2.794,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_3.1799,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_3.411,green,0.99,0.979171782077841
evm.TU.HIC_ASM_4.561,green,0.99,0.979171782077841
evm.TU.HIC_ASM_4.770,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_5.186,green,0.99,0.979171782077841
evm.TU.HIC_ASM_5.885,green,0.99,0.979171782077841
evm.TU.HIC_ASM_6.1219,green,0.99,0.979171782077841
evm.TU.HIC_ASM_6.1507,green,0.99,0.979171782077841
evm.TU.HIC_ASM_6.2283,green,0.99,0.979171782077841
evm.TU.HIC_ASM_6.3034,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_6.3035,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_6.3207,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_6.3887,green,0.99,0.979171782077841
evm.TU.HIC_ASM_6.3953,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_6.4057,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_7.105,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_7.18,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_7.58,green,0.99,0.979171782077841
evm.TU.HIC_ASM_8.1638,green,0.99,0.979171782077841
evm.TU.HIC_ASM_8.364,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_8.685,green,0.99,0.979171782077841
evm.TU.HIC_ASM_9.168,green,0.99,-0.231918008488026
evm.TU.HIC_ASM_9.187,green,0.99,0.979171782077841
evm.TU.HIC_ASM_9.417,green,0.99,-0.231918008488026
evm.TU.ORIGINAL_268.4,green,0.99,0.979171782077841
evm.TU.ORIGINAL_320__FRAGMENT_2.1,green,0.99,-0.231918008488026
evm.TU.ORIGINAL_437__FRAGMENT_2.19,green,0.99,-0.231918008488026
evm.TU.ORIGINAL_458.13,green,0.99,-0.231918008488026
evm.TU.ORIGINAL_484__FRAGMENT_1.7,green,0.99,0.979171782077841
PB.16383,green,0.99,-0.231918008488026
PB.462,green,0.99,-0.231918008488026
PB.2816,green,0.99,0.979171782077841
PB.3963,green,0.99,0.979171782077841
