"Module","Gene","Stability"
"green","evm.TU.HIC_ASM_3.477",1
"green","evm.TU.HIC_ASM_3.538",1
"green","evm.TU.HIC_ASM_3.617",1
"green","evm.TU.HIC_ASM_3.917",1
"green","evm.TU.HIC_ASM_4.1405",1
"green","evm.TU.HIC_ASM_4.1515",1
"green","evm.TU.HIC_ASM_4.1523",1
"green","evm.TU.HIC_ASM_4.1688",1
"green","evm.TU.HIC_ASM_4.1715",1
"green","evm.TU.HIC_ASM_4.1740",1
"green","evm.TU.HIC_ASM_4.294",1
"green","evm.TU.HIC_ASM_4.414",1
"green","evm.TU.HIC_ASM_4.475",1
"green","evm.TU.HIC_ASM_4.561",0.99
"green","evm.TU.HIC_ASM_4.770",0.99
"green","evm.TU.HIC_ASM_4.875",1
"green","evm.TU.HIC_ASM_5.186",0.99
"green","evm.TU.HIC_ASM_5.260",1
"green","evm.TU.HIC_ASM_5.458",1
"green","evm.TU.HIC_ASM_5.885",0.99
"green","evm.TU.HIC_ASM_6.1219",0.99
"green","evm.TU.HIC_ASM_6.1438",1
"green","evm.TU.HIC_ASM_6.1507",0.99
"green","evm.TU.HIC_ASM_6.1640",1
"green","evm.TU.HIC_ASM_6.177",1
"green","evm.TU.HIC_ASM_6.1957",1
"green","evm.TU.HIC_ASM_6.1993",1
"green","evm.TU.HIC_ASM_6.200",1
"green","evm.TU.HIC_ASM_6.2095",1
"green","evm.TU.HIC_ASM_6.2098",1
"green","evm.TU.HIC_ASM_6.2164",1
"green","evm.TU.HIC_ASM_6.2283",0.99
"green","evm.TU.HIC_ASM_6.2386",1
"green","evm.TU.HIC_ASM_6.2534",1
"green","evm.TU.HIC_ASM_6.3034",0.99
"green","evm.TU.HIC_ASM_6.3035",0.99
"green","evm.TU.HIC_ASM_6.3091",1
"green","evm.TU.HIC_ASM_6.3100",1
"green","evm.TU.HIC_ASM_6.3122",1
"green","evm.TU.HIC_ASM_6.3161",1
"green","evm.TU.HIC_ASM_6.320",1
"green","evm.TU.HIC_ASM_6.3206",1
"green","evm.TU.HIC_ASM_6.3207",0.99
"green","evm.TU.HIC_ASM_6.3886",1
"green","evm.TU.HIC_ASM_6.3887",0.99
"green","evm.TU.HIC_ASM_6.3953",0.99
"green","evm.TU.HIC_ASM_6.4057",0.99
"green","evm.TU.HIC_ASM_6.4137",1
"green","evm.TU.HIC_ASM_7.105",0.99
"green","evm.TU.HIC_ASM_7.18",0.99
"green","evm.TU.HIC_ASM_7.1829",1
"green","evm.TU.HIC_ASM_7.2022",1
"green","evm.TU.HIC_ASM_7.2083",1
"green","evm.TU.HIC_ASM_7.251",1
"green","evm.TU.HIC_ASM_7.470",1
"green","evm.TU.HIC_ASM_7.562",1
"green","evm.TU.HIC_ASM_7.58",0.99
"green","evm.TU.HIC_ASM_7.707",1
"green","evm.TU.HIC_ASM_7.890",1
"green","evm.TU.HIC_ASM_7.90",1
"green","evm.TU.HIC_ASM_7.904",1
"green","evm.TU.HIC_ASM_8.1101",1
"green","evm.TU.HIC_ASM_8.1182",1
"green","evm.TU.HIC_ASM_8.1212",1
"green","evm.TU.HIC_ASM_8.1425",1
"green","evm.TU.HIC_ASM_8.1435",1
"green","evm.TU.HIC_ASM_8.1575",1
"green","evm.TU.HIC_ASM_8.1638",0.99
"green","evm.TU.HIC_ASM_8.302",1
"green","evm.TU.HIC_ASM_8.363",1
"green","evm.TU.HIC_ASM_8.364",0.99
"green","evm.TU.HIC_ASM_8.476",1
"green","evm.TU.HIC_ASM_8.591",1
"green","evm.TU.HIC_ASM_8.685",0.99
"green","evm.TU.HIC_ASM_8.70",1
"green","evm.TU.HIC_ASM_8.889",1
"green","evm.TU.HIC_ASM_8.899",1
"green","evm.TU.HIC_ASM_9.1617",1
"green","evm.TU.HIC_ASM_9.168",0.99
"green","evm.TU.HIC_ASM_9.1762",1
"green","evm.TU.HIC_ASM_9.1849",1
"green","evm.TU.HIC_ASM_9.1868",1
"green","evm.TU.HIC_ASM_9.187",0.99
"green","evm.TU.HIC_ASM_9.1943",1
"green","evm.TU.HIC_ASM_9.203",1
"green","evm.TU.HIC_ASM_9.417",0.99
"green","evm.TU.HIC_ASM_9.670",1
"green","evm.TU.HIC_ASM_9.822",1
"green","evm.TU.ORIGINAL_130.5",1
"green","evm.TU.ORIGINAL_179__FRAGMENT_1.4",1
"green","evm.TU.ORIGINAL_247__FRAGMENT_1.11",1
"green","evm.TU.ORIGINAL_247__FRAGMENT_2.42",1
"green","evm.TU.ORIGINAL_247__FRAGMENT_2.50",1
"green","evm.TU.ORIGINAL_268.4",0.99
"green","evm.TU.ORIGINAL_320__FRAGMENT_2.1",0.99
"green","evm.TU.ORIGINAL_354.1",1
"green","evm.TU.ORIGINAL_355.20",1
"green","evm.TU.ORIGINAL_435__FRAGMENT_2.5",1
"green","evm.TU.ORIGINAL_437__FRAGMENT_2.19",0.99
"green","evm.TU.ORIGINAL_458.13",0.99
"green","evm.TU.ORIGINAL_471.3",1
"green","evm.TU.ORIGINAL_484__FRAGMENT_1.7",0.99
"green","evm.TU.ORIGINAL_484__FRAGMENT_2.11",1
"green","evm.TU.ORIGINAL_484__FRAGMENT_2.12",1
"green","evm.TU.ORIGINAL_488.3",1
"green","PB.2920",1
"green","PB.16383",0.99
"green","PB.17353",1
"green","PB.437",1
"green","PB.462",0.99
"green","PB.2816",0.99
"green","PB.15372",1
"green","PB.3963",0.99
"green","PB.23690",1
"green","PB.4234",1
"green","PB.15920",1
